,Unnamed: 0,tout,q,qt,c,PLRs,PLR,hourindex
3409,3409,-5.183333333,0.0,0.0,0.0,0.0,0.0,20
3410,3410,-5.275,0.0,0.0,0.0,0.0,0.0,20
3411,3411,-5.366666667,0.0,0.0,0.0,0.0,0.0,20
3412,3412,-5.458333333,0.0,0.0,0.0,0.0,0.0,20
3413,3413,-5.55,0.0,0.0,0.0,0.0,0.0,20
3414,3414,-5.641666667000001,0.0,0.0,0.0,0.0,0.0,20
3415,3415,-5.733333332999999,0.0,0.0,0.0,0.0,0.0,20
3416,3416,-5.825,0.0,0.0,0.0,0.0,0.0,20
3417,3417,-5.916666667,0.0,0.0,0.0,0.0,0.0,20
3418,3418,-6.008333333,0.0,0.0,0.0,0.0,0.0,20
3419,3419,-6.1,0.0,0.0,0.0,0.0,0.0,20
3420,3420,-6.15,0.0,0.0,0.0,0.0,0.0,21
3421,3421,-6.2,0.0,0.0,0.0,0.0,0.0,21
3422,3422,-6.25,0.0,0.0,0.0,0.0,0.0,21
3423,3423,-6.3,0.0,0.0,0.0,0.0,0.0,21
3424,3424,-6.35,0.0,0.0,0.0,0.0,0.0,21
3425,3425,-6.4,0.0,0.0,0.0,0.0,0.0,21
3426,3426,-6.45,0.0,0.0,0.0,0.0,0.0,21
3427,3427,-6.5,0.0,0.0,0.0,0.0,0.0,21
3428,3428,-6.55,0.0,0.0,0.0,0.0,0.0,21
3429,3429,-6.6,0.0,0.0,0.0,0.0,0.0,21
3430,3430,-6.65,0.0,0.0,0.0,0.0,0.0,21
3431,3431,-6.7,0.0,0.0,0.0,0.0,0.0,21
3432,3432,-6.7416666670000005,0.0,0.0,0.0,0.0,0.0,22
3433,3433,-6.783333333,0.0,0.0,0.0,0.0,0.0,22
3434,3434,-6.825,0.0,0.0,0.0,0.0,0.0,22
3435,3435,-6.8666666670000005,0.0,0.0,0.0,0.0,0.0,22
3436,3436,-6.908333333,0.0,0.0,0.0,0.0,0.0,22
3437,3437,-6.95,0.0,0.0,0.0,0.0,0.0,22
3438,3438,-6.9916666670000005,0.0,0.0,0.0,0.0,0.0,22
3439,3439,-7.033333333,0.0,0.0,0.0,0.0,0.0,22
3440,3440,-7.075,0.0,0.0,0.0,0.0,0.0,22
3441,3441,-7.1166666670000005,0.0,0.0,0.0,0.0,0.0,22
3442,3442,-7.158333333,0.0,0.0,0.0,0.0,0.0,22
3443,3443,-7.2,0.0,0.0,0.0,0.0,0.0,22
3444,3444,-7.383333332999999,0.0,0.0,0.0,0.0,0.0,23
3445,3445,-7.566666667000001,0.0,0.0,0.0,0.0,0.0,23
3446,3446,-7.75,0.0,0.0,0.0,0.0,0.0,23
3447,3447,-7.933333332999999,0.0,0.0,0.0,0.0,0.0,23
3448,3448,-8.116666667,0.0,0.0,0.0,0.0,0.0,23
3449,3449,-8.3,0.0,0.0,0.0,0.0,0.0,23
3450,3450,-8.483333333,0.0,0.0,0.0,0.0,0.0,23
3451,3451,-8.666666667000001,0.0,0.0,0.0,0.0,0.0,23
3452,3452,-8.85,0.0,0.0,0.0,0.0,0.0,23
3453,3453,-9.033333333,0.0,0.0,0.0,0.0,0.0,23
3454,3454,-9.216666667,0.0,0.0,0.0,0.0,0.0,23
3455,3455,-9.4,0.0,0.0,0.0,0.0,0.0,23
3456,3456,-9.4,0.0,0.0,0.0,0.0,0.0,0
3457,3457,-9.4,0.0,0.0,0.0,0.0,0.0,0
3458,3458,-9.4,0.0,0.0,0.0,0.0,0.0,0
3459,3459,-9.4,0.0,0.0,0.0,0.0,0.0,0
3460,3460,-9.4,0.0,0.0,0.0,0.0,0.0,0
3461,3461,-9.4,0.0,0.0,0.0,0.0,0.0,0
3462,3462,-9.4,0.0,0.0,0.0,0.0,0.0,0
3463,3463,-9.4,0.0,0.0,0.0,0.0,0.0,0
3464,3464,-9.4,0.0,0.0,0.0,0.0,0.0,0
3465,3465,-9.4,0.0,0.0,0.0,0.0,0.0,0
3466,3466,-9.4,0.0,0.0,0.0,0.0,0.0,0
3467,3467,-9.4,0.0,0.0,0.0,0.0,0.0,0
3468,3468,-9.4,0.0,0.0,0.0,0.0,0.0,1
3469,3469,-9.4,0.0,0.0,0.0,0.0,0.0,1
3470,3470,-9.4,0.0,0.0,0.0,0.0,0.0,1
3471,3471,-9.4,0.0,0.0,0.0,0.0,0.0,1
3472,3472,-9.4,0.0,0.0,0.0,0.0,0.0,1
3473,3473,-9.4,0.0,0.0,0.0,0.0,0.0,1
3474,3474,-9.4,0.0,0.0,0.0,0.0,0.0,1
3475,3475,-9.4,0.0,0.0,0.0,0.0,0.0,1
3476,3476,-9.4,0.0,0.0,0.0,0.0,0.0,1
3477,3477,-9.4,0.0,0.0,0.0,0.0,0.0,1
3478,3478,-9.4,0.0,0.0,0.0,0.0,0.0,1
3479,3479,-9.4,0.0,0.0,0.0,0.0,0.0,1
3480,3480,-9.45,0.0,0.0,0.0,0.0,0.0,2
3481,3481,-9.5,0.0,0.0,0.0,0.0,0.0,2
3482,3482,-9.55,0.0,0.0,0.0,0.0,0.0,2
3483,3483,-9.6,0.0,0.0,0.0,0.0,0.0,2
3484,3484,-9.65,0.0,0.0,0.0,0.0,0.0,2
3485,3485,-9.7,0.0,0.0,0.0,0.0,0.0,2
3486,3486,-9.75,0.0,0.0,0.0,0.0,0.0,2
3487,3487,-9.8,0.0,0.0,0.0,0.0,0.0,2
3488,3488,-9.85,0.0,0.0,0.0,0.0,0.0,2
3489,3489,-9.9,0.0,0.0,0.0,0.0,0.0,2
3490,3490,-9.95,0.0,0.0,0.0,0.0,0.0,2
3491,3491,-10.0,0.0,0.0,0.0,0.0,0.0,2
3492,3492,-10.0,0.0,0.0,0.0,0.0,0.0,3
3493,3493,-10.0,0.0,0.0,0.0,0.0,0.0,3
3494,3494,-10.0,0.0,0.0,0.0,0.0,0.0,3
3495,3495,-10.0,0.0,0.0,0.0,0.0,0.0,3
3496,3496,-10.0,0.0,0.0,0.0,0.0,0.0,3
3497,3497,-10.0,0.0,0.0,0.0,0.0,0.0,3
3498,3498,-10.0,0.0,0.0,0.0,0.0,0.0,3
3499,3499,-10.0,0.0,0.0,0.0,0.0,0.0,3
3500,3500,-10.0,0.0,0.0,0.0,0.0,0.0,3
3501,3501,-10.0,0.0,0.0,0.0,0.0,0.0,3
3502,3502,-10.0,0.0,0.0,0.0,0.0,0.0,3
