,p0,m0
7868,14703.2177,16.10705412
7869,13862.40744,15.74759423
7870,12612.25995,15.0970704
7871,14138.836519999999,15.88166298
7872,13761.882080000001,15.67945688
7873,12296.90667,14.92867815
7874,13937.065230000002,15.78518303
7875,12733.72113,15.16697918
7876,12623.439390000001,15.10799366
7877,13330.89451,15.4782299
7878,12784.11572,15.19462942
7879,16386.05913,16.83644417
7880,14614.423069999999,16.11660353
7881,13273.35492,15.45145336
7882,13150.82827,15.38088724
7883,14828.358519999998,16.17055212
7884,13660.022180000002,15.61670229
7885,14113.498119999998,15.86973184
7886,12410.481670000001,14.99029965
7887,13883.17932,15.72484159
7888,12125.17405,14.83359347
7889,14408.653209999999,15.99119919
7890,13378.10909,15.50531367
7891,12932.3015,15.269837699999998
7892,12735.81317,15.16880247
7893,15335.685280000002,16.41156876
7894,12361.671559999999,14.9601228
7895,12154.78145,14.8502175
7896,15348.6144,16.44997525
