,z0,tout,s,i,t1,t2,sp0,m,rh
1846,23.5204313562,2.01666666667,124.083333333,24062.4421654,23.5204313562,23.5199939868,23.52,1.18103114901,0.0
1847,23.5200513763,2.2,125.5,24062.4421654,23.5200513763,23.5201017081,23.52,1.18103114901,0.0
1848,23.8045449191,2.10833333333,126.916666667,24062.4421654,23.8045449191,23.7943973134,23.81,1.18103114901,0.0
1849,23.8096571482,2.01666666667,128.333333333,24062.4421654,23.8096571482,23.8089627592,23.81,1.18103114901,0.0
1850,23.8101148778,1.925,129.75,24062.4421654,23.8101148778,23.8102625741,23.81,1.18103114901,0.0
1851,23.8102301403,1.83333333333,131.166666667,24062.4421654,23.8102301403,23.8099775774,23.81,1.18103114901,0.0
1852,23.8103052801,1.74166666667,132.583333333,24062.4421654,23.8103052801,23.8100792736,23.81,1.18103114901,0.0
1853,23.8097977072,1.65,134.0,24062.4421654,23.8097977072,23.8100207268,23.81,1.18103114901,0.0
1854,23.8100375582,1.55833333333,141.166666667,24062.4421654,23.8100375582,23.8100644574,23.81,1.18103114901,0.0
1855,23.8100350588,1.46666666667,148.333333333,24062.4421654,23.8100350588,23.8099419106,23.81,1.18103114901,0.0
1856,23.8098949225,1.375,155.5,24062.4421654,23.8098949225,23.8102390149,23.81,1.18103114901,0.0
1857,23.8098319829,1.28333333333,162.666666667,24062.4421654,23.8098319829,23.8101699253,23.81,1.18103114901,0.0
1858,23.8099125585,1.19166666667,169.833333333,24062.4421654,23.8099125585,23.8098378331,23.81,1.18103114901,0.0
1859,23.8100975739,1.1,177.0,24062.4421654,23.8100975739,23.8099275657,23.81,1.18103114901,0.0
1860,23.8007147784,1.1,184.166666667,24062.4421654,23.8007147784,23.8005032916,23.8,1.18103114901,0.0
1861,23.8003540574,1.1,191.333333333,24062.4421654,23.8003540574,23.7999457878,23.8,1.18103114901,0.0
1862,23.7998836242,1.1,198.5,24062.4421654,23.7998836242,23.7998944426,23.8,1.18103114901,0.0
1863,23.8005072924,1.1,205.666666667,24062.4421654,23.8005072924,23.799926708,23.8,1.18103114901,0.0
1864,23.8000072622,1.1,212.833333333,24062.4421654,23.8000072622,23.7998625663,23.8,1.18103114901,0.0
1865,23.8004671585,1.1,220.0,24062.4421654,23.8004671585,23.799983005,23.8,1.18103114901,0.0
1866,23.7999202674,1.1,211.75,24062.4421654,23.7999202674,23.7999251976,23.8,1.18103114901,0.0
1867,23.8004237737,1.1,203.5,24062.4421654,23.8004237737,23.7998024254,23.8,1.18103114901,0.0
1868,23.7999384195,1.1,195.25,24062.4421654,23.7999384195,23.8000831131,23.8,1.18103114901,0.0
1869,23.8004856153,1.1,187.0,24062.4421654,23.8004856153,23.7999220934,23.8,1.18103114901,0.0
1870,23.8000203854,1.1,178.75,24062.4421654,23.8000203854,23.8001451503,23.8,1.18103114901,0.0
1871,23.7997768895,1.1,170.5,24062.4421654,23.7997768895,23.7999291405,23.8,1.18103114901,0.0
1872,23.6136441709,1.15,162.25,13376.7141446,23.6136441709,23.6233375343,23.61,1.18103114901,0.0
1873,23.6106194122,1.2,154.0,13376.7141446,23.6106194122,23.6106680816,23.61,1.18103114901,0.0
1874,23.6103220088,1.25,145.75,13376.7141446,23.6103220088,23.6099999122,23.61,1.18103114901,0.0
1875,23.6100437189,1.3,137.5,13376.7141446,23.6100437189,23.6099631691,23.61,1.18103114901,0.0
